query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags
绣春刀,绣春刀,7.1,7.1,0,0,0,7.1,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7609,3473,62,一闪工作室; 草庐,3男4女 4.5小时 新手,古风 机制 沉浸 武侠
猎罪大师,猎罪大师,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,北辰工作室,4男3女 6.0小时 高阶,
致曾来过的你,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
黎明谍影,黎明谍影,6.8,7,0,0,7,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,4257,212,大胡子工作室,4男3女 4.5小时 进阶 2022.07发行,架空 机制 欢乐 家国
百匠奇案2,百匠奇案2,8.1,7.8,0,7.3,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,18853,674,乱神企划工作室,5男3女 4.0小时 进阶 2020.09发行,
百匠奇案,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
青年旅店失踪事件,青年旅店失踪事件,6.8,6.7,0,0,0,7,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,2733,2600,166,百里芳菲工作室,3男3女 5.5小时 进阶 2022.10发行,中式 情感 沉浸 都市
未终止的圆桌谜题,未终止的圆桌谜题,7,7,7,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8356,14081,649,煽风点火; 山橘推理,5男2女 6.0小时 进阶 2022.02发行,日式 推理 悬疑 都市
推理作家的犯罪自白,推理作家的犯罪自白,7.5,7.4,7.1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26568,22011,1449,万物可爱,4男2女 5.0小时 进阶 2022.08发行,日式 推理 演绎法 刑侦
寸血山河,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
猎人笔记雪夜,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
东京恐怖故事铃兰女校,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
十二楼五城,十二楼五城,7.6,7.5,7.3,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4870,6635,358,八方阁工作室,4男3女 5.0小时 进阶 2021.10发行,
怪邻居,怪邻居,7.5,7.3,6.7,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8111,16299,538,空然新语,4男2女 4.5小时 进阶 2022.05发行,欧美 推理 欢乐 都市
戏子,戏子,7.6,7.3,7.4,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,1.4,6271,186,有糖谋杀之谜工作室,3男2女 6.0小时 高阶 2020.05发行,
佐川的手术刀,佐川的手术刀,6.7,6.9,6.8,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,2448,100,狸猫发行,3男2女 4.5小时 进阶 2022.01发行,日式 推理 悬疑 都市
鹿鸣山,鹿鸣山,7.4,7.2,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,4522,134,百川望辰工作室,4男3女 4.5小时 进阶,
以爱之名,以爱之名,7.3,6.6,0,0,0,7,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,7609,21447,549,诡迹迷雾工作室,3男3女 5.0小时 进阶 2021.06发行,中式 机制 沉浸 都市
SEVEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
金摇叶,金摇叶,6.1,6.4,0,0,0,6.5,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,2733,1055,143,万物欢喜剧制,3男3女 6.0小时 新手 2022.08发行,古风 情感 演绎 历史
一眨眼已不是少年,一眨眼已不是少年,6.7,6.8,6.6,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733,3681,62,鼠尾草剧制,3男3女 4.0小时 进阶 2021.05发行,中式 情感 沉浸 成长
没想到吧,没想到吧,7.5,7.2,0,0,7.3,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,8856,6559,238,支猫剧本工作室,3男4女 4.5小时 新手 2022.07发行,中式 情感 欢乐 都市
孝里藏刀,孝里藏刀,7,6.9,0,0,7.1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,1395,68,往事工作室,3男3女 4.0小时 进阶 2022.03发行,民国 机制 欢乐 都市
乱神志耀斑,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
未来的社会性死亡事件,未来的社会性死亡事件,6,6.6,6.3,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11481,8275,397,可剧,3男3女 4.5小时 进阶 2022.10发行,日式 推理 演绎法 都市
恶鬼道,恶鬼道,7.3,7,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7453,13014,447,墨鱼推理工作室,3男3女 4.5小时 进阶 2021.10发行,
怪谈事务所诡楼,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
长生祭（cs祭）,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
小女孩绽放的夜晚,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
往事thepast,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
暗黑者惩罚,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Hi老妖婆,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
扶风十二梦,扶风十二梦,7.2,7.1,0,0,0,7.3,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,2733,2091,138,戏子出品,3男3女 4.5小时 新手 2022.10发行,古风 情感 沉浸 战争
彩虹城,彩虹城,6.7,6.7,0,0,0,6.9,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,2733,3732,255,FB发行工作室,3男3女 4.0小时 新手 2023.01发行,架空 情感 沉浸 都市
独家古惑仔,独家古惑仔,8.5,7.6,0,0,8.6,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,28260,2163,银河制片厂,5男3女 5.5小时 进阶 2022.12发行,港澳 机制 欢乐 都市
大丸子戏剧团,大丸子戏剧团,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,剧猩联盟工作室,3男3女 4.5小时 新手 2022.10发行,中式 其他 欢乐 新手
在故事尽头等你,在故事尽头等你,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6565,0,0,禾必工作室,3男3女 4.0小时 进阶 2022.12发行,
不为人知的故事,不为人知的故事,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733,0,0,逍山文创; 诸葛发行工作室,剧本类型：立意/沉浸/遗憾/警察 剧本时长：4小时 人物配送：3男/3女（尽量不要反串） 体验角色：柳宣然（周密） （梦中我是一名公主🧝🏻‍♀️有个英雄骑士在保护着我...全文,中式 情感 沉浸 都市
不止清晨不止雾,不止清晨不止雾,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733,0,0,,3男3女 4.5小时 新手 2021.11发行,中式 情感 沉浸 都市
夏日轻推理,夏日轻推理,6.8,6.8,6.5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8111,1342,100,隐匿角色,3男3女 4.5小时 进阶 2023.01发行,中式 推理 欢乐 校园
好色之徒,好色之徒,8,7.7,0,0,0,0,0,0,7.8,0,0,0,0,0,8.3,0,0,0,0,0,2733,3256,202,百玄文创工作室,3男3女 4.5小时 进阶,
喜欢你,喜欢你,7,6.8,0,0,0,7,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,2733,5879,271,黑白原创剧本工作室,3男3女 4.5小时 进阶 2022.10发行,中式 情感 沉浸 都市
苍月,苍月,8.7,8.3,0,7.6,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,5044,36789,3775,二类人生剧制,3男3女 7.0小时 高阶 2021.12发行,
YiYi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
拜托了股东,拜托了股东,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,叱鲸文化,4男3女 4.5小时 新手 2022.08发行,中式 机制 欢乐 都市
东京恐怖故事自杀森林,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
丰饶吟唱团,丰饶吟唱团,7.7,7.2,7.4,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,59029,47588,4085,乱神企划工作室,4男3女 6.0小时 进阶 2023.01发行,
风声之独白,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
极乐都市,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
浪漫主义,浪漫主义,7.7,7.5,7.2,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8111,2351,142,东南西北,4男2女 5.0小时 进阶 2022.06发行,架空 推理 欢乐 穿越
理想国,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
推理作家的独白,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
误入杀手镇的0和1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
雪松郡公立医院,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阎罗帖2杀人者的预判推理,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
左左,左左,6.6,6.8,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812,8234,239,武汉Top剧本工作,4男3女 4.5小时 进阶 2021.12发行,
黑白,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
吾自齐天2奉君天阙客,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
追赶星星的火车,追赶星星的火车,6.6,6.9,6.6,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,1.4,1456,77,方块巨制; 一只猫文创,补测系列🌟《追赶星星的火车》🌟 📖剧本类型：日式/推理/立意/沉浸 👦玩家配置：三男三女 ⌚️体验时长：5.5小时 🧡体验角色：城...全文,日式 推理 立意 其他
如期,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
忘了忘不了,忘了忘不了,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,万本剧制,4男3女 4.5小时 进阶 2022.12发行,
送别,送别,7.6,7.5,0,0,0,7.7,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7609,2411,130,跳！大神工作室,3男3女 4.5小时 进阶 2022.11发行,架空 机制 沉浸 都市
芳龄,芳龄,7.3,7.2,0,0,0,7.3,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,2734,3755,220,万物欢喜剧制,2男4女 4.5小时 进阶 2022.06发行,中式 情感 沉浸 都市
蝉蜕之谜,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
我喜欢黑夜的时候,我喜欢黑夜的时候,6.3,6.5,0,0,0,6.7,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,2734,1090,134,云水瑶工作室,《我喜欢黑夜的时候》⭐️⭐️⭐️ 📖剧本类型：现代/架空/沉浸/情感 🙎🏻玩家配置：③男③女 ⏰体验时长：⑤小时 在...全文,架空 情感 沉浸 都市
剪耳朵的人,剪耳朵的人,7,6.9,7.5,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,1.4,4672,254,束禾文化,4男2女 5.0小时 进阶 2021.11发行,
神遇之夏,神遇之夏,7.2,7.3,7,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13404,16150,1179,空想馆; 魔术师工作室,2男4女 6.0小时 进阶 2023.01发行,
未完待续,未完待续,7,7.1,0,0,0,7.1,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1145,118,暴风雪工作室,3男3女 4.5小时 进阶 2022.10发行,
贤者之石2请不要吃我,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
死囚失控伦敦,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
云外的丁达尔,云外的丁达尔,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,工作室有轨,人数：4男2女(可反串)类型：硬核还原科幻时长：5-6小时 体验角色：陈浩宇 刷新我世界观的本《云外的丁达尔》推理：还原：本来以为只是随意打的一个本，没想到打完之后会让我这么念念不忘！真的是我差点就错过的宝藏！本开始的破冰游戏跟故...全文,
白鹿少女在风中悲鸣,白鹿少女在风中悲鸣,7.2,7.2,0,6.8,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,14227,1116,天地之间,3男3女 6.0小时 进阶 2023.02发行,
玫瑰女王选举日,玫瑰女王选举日,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,剧本汤,2男5女 4.5小时 进阶 2022.06发行,欧美 机制 欢乐 童话
归墟子语,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
刁民3,刁民3,5.5,6,0,0,6.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,98,6420,171,好琦工作室,3男3女 4.5小时 进阶 2022.09发行,
