query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags
绣春刀,绣春刀,7.1,7.1,0,0,0,7.1,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7609,3477,62,一闪工作室; 草庐,3男4女 4.5小时 新手,古风 机制 沉浸 武侠
克里塔斯,克里塔斯,6.9,6.7,0,0,0,6.9,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4499,370,呓语剧本创作,3男3女 5.5小时 进阶 2023.01发行,
致曾来过的你,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
百匠奇案,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
寸血山河,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
乱神志耀斑,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
月亮是指路牌,月亮是指路牌,8.5,7.9,0,0,0,8.3,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,10570,11817,572,,3男3女 4.0小时 进阶 2022.06发行,架空 情感 沉浸 童话
SEVEN,seven,6.3,6.6,6.4,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,1.4,4872,301,归途工作室,"第59本 时长：4.5小时 配置：4男2女 店家：景德镇三仟世界 近期最踩雷的一个本,能感觉到作者从形式到内容上的用力,但是真的不好玩。好像还把我一个第一次...全文",
小女孩绽放的夜晚,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
YiYi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
风声之独白,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
理想国,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
推理作家的独白,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
误入杀手镇的0和1,误入杀手镇的0和1,6.1,6.3,0,0,6.9,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,33680,1104,飞鱼探案,3男3女 4.5小时 进阶 2022.11发行,架空 机制 欢乐 都市
黑白,黑白,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,秦探工作室,5男2女 4.0小时 进阶,
如期,如期,7.9,7.3,0,0,0,7.4,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,6674,7847,371,又川文化; 大桶互娱,3男3女 4.5小时 进阶 2021.12发行,
蝉蜕之谜,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
缠绕列车,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
猎人笔记雪夜,猎人笔记：雪夜,8.2,8.0,0,0,0,0,0,0,7.7,0,0,0,0,0,8.0,0,0,0,0,0,22574,19846,1026,雪碧工作室,4男3女 4.0小时 进阶 2022.05发行,
东京恐怖故事铃兰女校,东京恐怖故事：铃兰女校,7.8,7.6,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,36230,150241,9509,剧作时代,新手恐怖必玩儿本！很多人的东恐入坑本。 4个多小时，全程尖叫，没有尿点。 开头找名字，找床铺破冰，紧接着几个不是很核心的本格案件，有双搜，单搜，全程恐怖氛围围绕，总线又有情感抉择，后遗症一周左右。 一男6女玩儿的，带妹恐搜很欢乐。,日式 推理 惊悚 校园
怪谈事务所诡楼,怪谈事务所：诡楼,8.7,7.6,0,0,0,0,8.5,0,0,0,8.2,0,0,0,0,0,0,0,0,0,3161,53888,4944,百川望辰工作室,3男3女 8.0小时 进阶 2023.02发行,日式 机制 博弈 怪谈
长生祭（cs祭）,长生祭,6.8,7.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,1848,101,K的游戏,3男1女 3.0小时 新手 2021.02发行,架空 推理 惊悚 武侠
往事thepast,ThePast往事,8.8,8.0,8.5,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,43738,29041,2469,KEYS工作室,4男2女 6.0小时 高阶 2020.11发行,
暗黑者惩罚,暗黑者：惩罚,8.2,7.6,0,7.6,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,46762,2048,隐证剧本工作室,4男2女 6.0小时 高阶 2021.04发行,
Hi老妖婆,HI！老妖婆,7.4,7.2,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16909,18609,808,气球文娱,3男3女 4.0小时 新手 2023.02发行,【剧本杀测评】 📖剧本名称：HI！老妖婆 👫🏼游戏人数：3男3女（可反串） ⏰游戏时长：4h 🧩剧本类型：欢乐 机制 情感 🙀难易程...全文
vr伐木累2冰封的太阳,vr伐木累2：冰封的太阳,7.5,7.2,0,0,7.0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,5.8,4101,102,云珂工作室,百本选手说剧本:剧本《VR伐木累2:冰封的太阳》6人本 4男2女 剧本类型:城限本 欢乐 机制 情感本 游戏时间:5小时左右 家国情怀 爱情 亲情 友情 情感本 完全 带入不了 角色 一上来的游戏 玩的还可以 然后就开始 割裂了 有一种 剧本 不是一个人 写的感觉 而且 作者 文笔一般 读不下去 读着读着 睡着了💤 最后的沉浸 是啥...全文,架空 阵营 欢乐 新手
东京恐怖故事自杀森林,东京恐怖故事：自杀森林,6.9,7.1,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13091,12177,663,剧作时代,2男4女 4.5小时 进阶 2022.05发行,日式 推理 惊悚 怪谈
极乐都市,THUGS！极乐都市,8.0,7.2,0,0,8.0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3161,23548,1283,绯色剧制,4男3女 5.5小时 进阶 2022.05发行,
冥河2天道,冥河2：天道,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6682,0,0,九月天工作室,3男3女 4.5小时 进阶 2021.03发行,古风 情感 演绎 都市
雪松郡公立医院,K的游戏：雪松郡公立医院,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,0,0,K的游戏,1男0女 2.0小时 新手 2020.09发行,中式 机制 惊悚 新手
阎罗帖2杀人者的预判推理,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
吾自齐天2奉君天阙客,吾自齐天2：奉君天阙客,7.7,7.3,0,0,0,7.4,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,6683,3591,179,翰林院工作室,3男3女 4.5小时 新手 2022.07发行,古风 情感 演绎 神话
